Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025/05/15,23:09:15,227.0,220.0,272.5,60.0,60.0,28,29.0,UPS_10F
2025/05/15,22:09:05,227.0,220.0,272.5,59.9,59.9,27,29.0,UPS_10F
2025/05/15,21:08:57,225.5,220.0,272.5,60.0,60.0,29,28.0,UPS_10F
2025/05/15,20:08:49,225.0,220.0,272.5,59.9,59.9,28,28.0,UPS_10F
2025/05/15,19:08:41,225.5,220.0,272.5,59.9,59.9,28,28.0,UPS_10F
2025/05/15,18:08:32,225.0,220.0,272.5,59.9,59.9,27,28.0,UPS_10F
2025/05/15,17:08:24,225.5,220.0,272.5,60.0,60.0,29,28.0,UPS_10F
2025/05/15,16:08:15,226.0,220.0,272.5,59.9,59.9,28,28.0,UPS_10F
2025/05/15,15:08:07,224.5,220.0,272.5,59.9,59.9,27,27.0,UPS_10F
2025/05/15,14:07:59,224.0,219.5,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/15,13:07:51,223.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025/05/15,12:07:42,224.0,220.5,272.5,60.0,60.0,27,27.0,UPS_10F
2025/05/15,11:07:34,223.0,220.5,272.2,59.9,59.9,27,23.0,UPS_10F
2025/05/15,10:07:26,225.0,220.0,272.5,60.0,60.0,31,26.0,UPS_10F
2025/05/15,09:07:18,224.0,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/15,08:07:09,225.0,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/15,07:07:01,225.5,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/15,06:06:53,228.0,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/15,05:06:46,228.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025/05/15,04:06:37,228.5,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/15,03:06:29,228.5,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/15,02:06:21,230.5,220.5,272.2,60.0,60.0,27,24.0,UPS_10F
2025/05/15,01:06:13,228.5,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/15,00:06:05,228.5,220.0,272.2,60.0,60.0,29,25.0,UPS_10F
