Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025/05/30,23:58:45,228.0,220.0,272.5,60.0,60.0,28,28.0,UPS_10F
2025/05/30,22:58:37,228.0,220.0,272.5,59.9,59.9,29,28.0,UPS_10F
2025/05/30,21:58:28,228.0,220.0,272.5,59.9,59.9,29,28.0,UPS_10F
2025/05/30,20:58:19,227.0,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025/05/30,19:58:11,226.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/30,18:58:02,225.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025/05/30,17:57:54,226.5,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/30,16:57:46,227.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025/05/30,15:57:36,227.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025/05/30,14:57:28,226.0,220.0,272.5,60.0,60.0,27,27.0,UPS_10F
2025/05/30,13:57:19,224.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025/05/30,12:57:10,225.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025/05/30,11:57:02,226.0,220.0,272.5,60.0,60.0,29,30.0,UPS_10F
2025/05/30,10:56:53,226.0,220.0,272.5,59.9,59.9,29,25.0,UPS_10F
2025/05/30,09:56:44,227.0,220.0,272.5,59.9,59.9,27,25.0,UPS_10F
2025/05/30,08:56:36,228.5,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025/05/30,07:56:28,229.0,220.0,272.5,59.9,59.9,27,25.0,UPS_10F
2025/05/30,06:56:19,228.0,220.0,272.5,60.0,60.0,28,25.0,UPS_10F
2025/05/30,05:56:11,229.0,220.5,272.5,60.0,60.0,29,26.0,UPS_10F
2025/05/30,04:56:03,229.5,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025/05/30,03:55:55,229.0,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025/05/30,02:55:47,228.5,220.0,272.5,60.0,60.0,29,26.0,UPS_10F
2025/05/30,01:55:38,228.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025/05/30,00:55:30,227.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
