Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025/05/11,23:56:05,226.0,220.0,272.5,60.0,60.0,27,25.0,UPS_10F
2025/05/11,22:55:57,224.5,220.0,272.5,59.9,59.9,27,25.0,UPS_10F
2025/05/11,21:55:50,223.0,220.0,272.5,60.0,60.0,27,25.0,UPS_10F
2025/05/11,20:55:42,222.5,220.0,272.5,59.9,59.9,27,25.0,UPS_10F
2025/05/11,19:55:34,223.5,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/11,18:55:26,223.5,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/11,17:55:19,224.5,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/11,16:55:10,225.5,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/11,15:55:02,226.0,220.0,272.5,59.9,59.9,27,26.0,UPS_10F
2025/05/11,14:54:55,226.0,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025/05/11,13:54:46,225.0,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025/05/11,12:54:39,225.0,220.0,272.5,59.9,59.9,27,25.0,UPS_10F
2025/05/11,11:54:31,224.0,220.0,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/11,10:54:23,223.5,220.0,272.2,60.0,60.0,26,24.0,UPS_10F
2025/05/11,09:54:15,223.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/05/11,08:54:07,224.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/05/11,07:53:59,226.0,220.0,272.5,60.0,60.0,28,24.0,UPS_10F
2025/05/11,06:53:51,227.0,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/05/11,05:53:44,228.0,220.0,272.2,59.9,59.9,28,25.0,UPS_10F
2025/05/11,04:53:35,230.5,220.0,272.2,59.9,59.9,28,25.0,UPS_10F
2025/05/11,03:53:27,230.5,220.0,272.2,60.0,60.0,27,25.0,UPS_10F
2025/05/11,02:53:19,230.0,220.0,272.2,59.9,59.9,27,25.0,UPS_10F
2025/05/11,01:53:11,229.0,220.0,272.2,60.0,60.0,29,25.0,UPS_10F
2025/05/11,00:53:03,227.5,220.0,272.5,60.0,60.0,29,25.0,UPS_10F
