Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025/05/07,23:42:57,226.5,220.5,272.5,60.0,60.0,27,26.0,UPS_10F
2025/05/07,22:42:49,226.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025/05/07,21:42:41,227.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025/05/07,20:42:33,229.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025/05/07,19:42:25,229.0,220.0,272.5,60.0,60.0,27,27.0,UPS_10F
2025/05/07,18:42:17,227.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/07,17:42:09,227.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/07,16:42:00,227.5,220.5,272.5,60.0,60.0,29,27.0,UPS_10F
2025/05/07,15:41:52,229.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025/05/07,14:41:43,228.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/07,13:41:35,228.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025/05/07,12:41:26,227.5,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/07,11:41:16,224.5,220.5,272.5,59.9,59.9,28,27.0,UPS_10F
2025/05/07,10:41:08,225.0,220.0,272.5,59.9,59.9,28,25.0,UPS_10F
2025/05/07,09:41:00,225.0,220.0,272.5,60.0,60.0,28,25.0,UPS_10F
2025/05/07,08:40:51,227.0,220.0,272.2,59.9,59.9,28,26.0,UPS_10F
2025/05/07,07:40:43,227.5,220.5,272.5,60.0,60.0,29,26.0,UPS_10F
2025/05/07,06:40:34,227.0,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025/05/07,05:40:26,228.0,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025/05/07,04:40:17,227.5,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025/05/07,03:40:09,227.5,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025/05/07,02:40:01,226.5,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025/05/07,01:39:53,226.0,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025/05/07,00:39:45,225.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
