Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
06/27/2025,06:55:06,225,230,2725,60.0,60.0,23,23,UPS_3F
06/27/2025,07:55:07,225,230,2718,60.0,60.0,23,23,UPS_3F
06/27/2025,08:55:07,222,230,2722,59.9,60.0,23,23,UPS_3F
06/27/2025,09:55:07,222,229,2718,60.0,60.0,23,23,UPS_3F
06/27/2025,10:55:08,221,230,2718,59.9,60.0,23,23,UPS_3F
06/27/2025,11:55:08,221,230,2722,60.0,60.0,23,23,UPS_3F
06/27/2025,12:55:09,223,230,2722,60.0,60.0,23,23,UPS_3F
06/27/2025,13:55:09,222,230,2718,59.9,60.0,23,23,UPS_3F
06/27/2025,14:55:10,223,230,2725,59.9,60.0,23,23,UPS_3F
06/27/2025,15:55:10,226,230,2722,60.0,60.0,23,23,UPS_3F
06/27/2025,16:55:11,224,230,2725,60.0,60.0,23,26,UPS_3F
06/27/2025,17:55:11,226,230,2722,60.0,60.0,23,26,UPS_3F
06/27/2025,18:55:12,227,230,2722,59.9,60.0,23,27,UPS_3F
06/27/2025,19:55:12,226,230,2722,60.0,60.0,23,27,UPS_3F
06/27/2025,20:55:13,225,230,2718,59.9,60.0,23,27,UPS_3F
06/27/2025,21:55:13,225,230,2722,59.9,60.0,24,26,UPS_3F
06/27/2025,22:55:14,223,230,2725,60.0,60.0,23,27,UPS_3F
06/27/2025,23:55:14,222,230,2718,60.0,60.0,24,27,UPS_3F
06/28/2025,00:55:15,223,230,2718,59.9,60.0,19,26,UPS_3F
06/28/2025,01:55:15,225,230,2722,59.9,60.0,20,27,UPS_3F
06/28/2025,02:55:16,225,230,2722,60.0,60.0,24,27,UPS_3F
06/28/2025,03:55:16,224,230,2718,60.0,60.0,24,27,UPS_3F
06/28/2025,04:55:16,225,230,2722,60.0,60.0,19,24,UPS_3F
06/28/2025,05:55:17,225,229,2722,59.9,60.0,23,24,UPS_3F
06/28/2025,06:55:18,225,230,2722,60.0,60.0,23,24,UPS_3F
06/28/2025,07:55:18,224,230,2722,59.9,60.0,24,24,UPS_3F
06/28/2025,08:55:19,227,230,2722,60.0,60.0,23,24,UPS_3F
06/28/2025,09:55:19,226,230,2722,59.9,60.0,23,24,UPS_3F
06/28/2025,10:55:19,226,230,2722,60.0,60.0,24,24,UPS_3F
06/28/2025,11:55:20,226,230,2718,60.0,60.0,23,24,UPS_3F
06/28/2025,12:55:20,225,230,2718,60.0,60.0,23,24,UPS_3F
06/28/2025,13:55:21,225,230,2722,59.9,60.0,23,24,UPS_3F
06/28/2025,14:55:21,227,230,2715,59.9,60.0,24,24,UPS_3F
06/28/2025,15:55:22,229,230,2725,59.9,60.0,23,24,UPS_3F
06/28/2025,16:55:22,229,230,2722,60.0,60.0,19,26,UPS_3F
06/28/2025,17:55:22,228,230,2718,59.9,60.0,23,27,UPS_3F
06/28/2025,18:55:22,227,230,2722,59.9,60.0,23,26,UPS_3F
06/28/2025,19:55:22,227,230,2718,60.0,60.0,23,27,UPS_3F
06/28/2025,20:55:23,227,230,2718,59.9,60.0,24,27,UPS_3F
06/28/2025,21:55:23,225,230,2722,60.0,60.0,24,27,UPS_3F
06/28/2025,22:55:24,222,230,2722,60.0,60.0,23,27,UPS_3F
06/28/2025,23:55:24,223,230,2725,59.9,60.0,23,27,UPS_3F
06/29/2025,00:55:24,222,230,2722,60.0,60.0,23,27,UPS_3F
06/29/2025,01:55:24,223,230,2718,60.0,60.0,23,27,UPS_3F
06/29/2025,02:55:24,224,230,2718,59.9,60.0,24,27,UPS_3F
06/29/2025,03:55:25,225,230,2722,60.0,60.0,24,27,UPS_3F
06/29/2025,04:55:25,226,230,2722,60.0,60.0,20,24,UPS_3F
06/29/2025,05:55:26,225,230,2722,59.9,60.0,24,23,UPS_3F
06/29/2025,06:55:26,227,230,2722,60.0,60.0,23,24,UPS_3F
06/29/2025,07:55:26,227,230,2718,60.0,60.0,23,24,UPS_3F
06/29/2025,08:55:27,226,230,2722,59.9,60.0,23,24,UPS_3F
06/29/2025,09:55:27,224,229,2722,59.9,60.0,23,24,UPS_3F
06/29/2025,10:55:28,225,230,2718,60.0,60.0,24,24,UPS_3F
06/29/2025,11:55:28,226,230,2718,60.0,60.0,24,24,UPS_3F
06/29/2025,12:55:29,226,230,2718,60.0,60.0,23,24,UPS_3F
06/29/2025,13:55:29,226,230,2718,59.9,60.0,23,24,UPS_3F
